"SystemName","status","OperatingSystems","Audience","Category","Translations","ProgrammingLan","UserInterface","LastUpdate","License"
"SAP NetWeaver Server Adapter for Eclipse","Beta","linux/mac/windows","developers","application-servers","English","java","eclipse","2016-07-20","eclipse-public-license"
"AutoAP","Beta","linux","advanced-end-users/developers/telecommunications-industry","wireless","English/German/Spanish","c/javascript/unix-shell","console-terminal/web-based","2015-08-06","gnu-general-public-license-version-2.0-(gplv2)"
"ZD1211 USB WLAN Linux Driver","Beta","linux","advanced-end-users/information-technology/system-administrators","hardware-drivers","English","c","non-interactive-(daemon)","2014-04-29","gnu-general-public-license-version-2.0-(gplv2)"
"avidemux","Beta","bsd/linux","end-users-desktop","non-linear-editor","English","c++","x-window-system-(x11)","2019-08-31","gnu-general-public-license-version-2.0-(gplv2)"
"Double Commander","Beta","bsd/linux/mac/windows","end-users-desktop","archiving/file-management","Bulgarian/Chinese (Simplified)/Czech/Dutch/English/German/Hungarian/Russian/Spanish/Ukrainian","free-pascal/lazarus/object-pascal/pascal","carbon-(mac-os-x)/cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2 days ago","gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"rEFInd","Beta","linux/mac/windows","end-users-desktop","boot","English","c","console-terminal/framebuffer","4 days ago","bsd-license/gnu-general-public-license-version-3.0-(gplv3)"
"GTK+ for Windows Runtime Environment","Abandoned","windows","developers/end-users-desktop","desktop-environment/libraries","English","c/c++","gtk+/win32-(ms-windows)","2017-09-15","gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)/gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"FreeCAD","Beta","bsd/linux/mac/windows","advanced-end-users/developers/end-users-desktop","3d-modeling/computer-aided-technologies-(cadd-cam-cae)","Chinese (Simplified)/Croatian/Dutch/English/French/German/Italian/Japanese/Portuguese/Russian/Spanish/Swedish","c++/python","qt/win32-(ms-windows)/x-window-system-(x11)","2018-10-03","gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Remove Empty Directories","Beta","windows","advanced-end-users/end-users-desktop","file-management/search","English","c#",".net-mono","2013-04-15","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Inno Setup Unpacker","Beta","windows","developers/end-users-desktop/information-technology/system-administrators","archiving/installation-setup","English","object-pascal","command-line","2019-05-16","gnu-general-public-license-version-2.0-(gplv2)"
"DC++","Beta","windows","end-users-desktop","chat/direct-connect/file-sharing","Bosnian/Brazilian Portuguese/Bulgarian/Chinese (Simplified)/Czech/Dutch/English/Estonian/Finnish/French/German/Greek/Hungarian/Italian/Korean/Norwegian/Polish/Portuguese/Romanian/Russian/Serbian/Slovak/Swedish/Turkish","c++","other-toolkit/win32-(ms-windows)","2020-03-07","gnu-general-public-license-version-2.0-(gplv2)"
"AirSnort","Beta","bsd/linux/windows","system-administrators","cryptography/internet/monitoring","English","c","gtk+","2013-04-01","gnu-general-public-license-version-2.0-(gplv2)"
"PDFedit","Beta","bsd/linux/windows","advanced-end-users/developers/end-users-desktop","editors/text-editors/viewers","Chinese (Traditional)/Czech/English/French/German/Russian/Spanish","c++/javascript","command-line/qt","2014-05-26","gnu-general-public-license-version-2.0-(gplv2)"
"Burrows-Wheeler Aligner","Beta","bsd/linux","science-research","bio-informatics","English","c","command-line","2017-11-07","gnu-general-public-license-version-3.0-(gplv3)/mit-license"
"VirtualDubMod","Inactive","windows","end-users-desktop","video","English","c/c++","win32-(ms-windows)","2013-05-07","gnu-general-public-license-version-2.0-(gplv2)"
"APK File Manager","Beta","windows","advanced-end-users/other-audience","cataloguing/other-nonlisted-topic","English","free-pascal/lazarus","project-is-a-user-interface-(ui)-system/win32-(ms-windows)","2016-02-29","mozilla-public-license-2.0-(mpl-2.0)"
"CoRD","Abandoned","mac","advanced-end-users/information-technology/system-administrators","systems-administration","English","c","cocoa-(macos-x)","2020-04-14","gnu-general-public-license-version-2.0-(gplv2)"
"Google2SRT","Beta","linux/mac/windows","education/end-users-desktop","internet/video-conversion/xml","Brazilian Portuguese/Catalan/Chinese (Simplified)/Chinese (Traditional)/English/French/German/Italian/Russian/Spanish/Ukrainian","java","java-swing","2020-04-05","gnu-general-public-license-version-3.0-(gplv3)"
"GRUB4DOS and WINGRUB","Beta","windows","end-users-desktop","boot","Chinese (Simplified)/English","assembly/c","win32-(ms-windows)","2013-04-16","gnu-general-public-license-version-2.0-(gplv2)"
"FreeArc","Beta","bsd/linux/windows","advanced-end-users/information-technology/system-administrators","backup/compression/cryptography","Brazilian Portuguese/Chinese (Simplified)/Chinese (Traditional)/Czech/Dutch/English/French/German/Italian/Polish/Russian/Spanish/Ukrainian","c++/haskell","command-line/gtk+/win32-(ms-windows)","2013-04-03","gnu-general-public-license-version-2.0-(gplv2)"
"Ares Galaxy","Beta","windows","end-users-desktop","chat/file-sharing","Arabic/Chinese (Simplified)/Czech/Danish/Dutch/English/Finnish/French/German/Italian/Japanese/Kirghiz/Polish/Portuguese/Russian/Slovak/Spanish/Swedish/Turkish","delphi-kylix","win32-(ms-windows)","2017-12-19","gnu-general-public-license-version-2.0-(gplv2)"
"TupiTube Desk","Beta","bsd/linux/mac/windows","education/end-users-desktop","animation","English/Spanish","c++","qt","2020-04-12","gnu-general-public-license-version-2.0-(gplv2)"
"ChanSort","Beta","windows","end-users-desktop","multimedia","English/German","c#",".net-mono","2016-11-26","gnu-general-public-license-version-3.0-(gplv3)"
"guliverkli","Beta","windows","end-users-desktop","capture/sound-audio/video","English/Hungarian","c++","win32-(ms-windows)","2013-05-08","gnu-general-public-license-version-2.0-(gplv2)"
"The Jahshaka Project","Beta","linux/mac/windows","aerospace/architects/education/end-users-desktop/manufacturing/science-research","animation","English/Spanish","c++","opengl/qt","2019-11-10","gnu-general-public-license-version-3.0-(gplv3)"
"Eclipse Embedded Systems Register View","Beta","linux/mac/windows","developers","software-development","English","java","java-swt","2 days ago","gnu-general-public-license-version-3.0-(gplv3)"
"Synkron","Inactive","bsd/linux/mac/windows","end-users-desktop","file-management","Arabic/Brazilian Portuguese/Catalan/Chinese (Simplified)/Czech/Dutch/English/Finnish/French/German/Italian/Japanese/Polish/Russian/Slovak/Spanish","c++","qt","2014-10-11","gnu-general-public-license-version-2.0-(gplv2)"
"Haskell support for Eclipse","Beta","linux/mac/windows","developers/education/information-technology","build-tools/compilers/debuggers/integrated-development-environments-(ide)/interpreters","English","haskell/java","carbon-(mac-os-x)/java-swt/win32-(ms-windows)/x-window-system-(x11)","2015-01-29","common-public-license-1.0/eclipse-public-license"
"Qtractor","Beta","linux","end-users-desktop","capture-recording/midi/sound-audio","English","c++","qt/x-window-system-(x11)","2 hours ago","gnu-general-public-license-version-2.0-(gplv2)"
"wxHexEditor","Beta","bsd/linux/mac/windows","advanced-end-users/developers/science-research","binary-editors/debuggers","Turkish","c++","wxwidgets","2017-12-31","gnu-general-public-license-version-2.0-(gplv2)"
"ODIN (Open Disk Imager in a Nutshell)","Beta","windows","end-users-desktop","backup","English","c++","win32-(ms-windows)","2013-04-24","gnu-general-public-license-version-2.0-(gplv2)"
"Celestia","Beta","bsd/linux/mac/windows","education/end-users-desktop/science-research","3d-rendering/astronomy/education/games-entertainment","Arabic/Brazilian Portuguese/Bulgarian/Chinese (Simplified)/Dutch/English/French/Hungarian/Italian/Japanese/Korean/Latvian/Portuguese/Russian/Spanish/Swedish/Ukrainian","c++","cocoa-(macos-x)/gnome/kde/win32-(ms-windows)","2016-04-08","gnu-general-public-license-version-2.0-(gplv2)"
"CamDesk","Abandoned","linux/mac/windows","non-profit-organizations/other-audience/security","desktop-environment/security/still-capture","English","javascript/python/visual-basic-.net","gtk+/other-toolkit/web-based/win32-(ms-windows)","2016-03-08","mit-license"
"Pure Data Computer Music System","Beta","bsd/linux/mac/windows","developers/education/end-users-desktop","3d-rendering/analysis/human-machine-interfaces/midi/sound-synthesis","English","c/c++/tcl","cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2020-03-21","gnu-general-public-license-version-2.0-(gplv2)"
"WebcamStudio For GNU/Linux","Beta","bsd/linux","advanced-end-users/end-users-desktop/telecommunications-industry/testers","capture-recording/conferencing/streaming","English","java","java-swing","2019-08-23","gnu-general-public-license-version-3.0-(gplv3)"
"IPCop Firewall","Abandoned","bsd/linux","advanced-end-users/end-users-desktop/system-administrators","firewalls/internet/security","Afrikaans/Arabic/Brazilian Portuguese/Bulgarian/Catalan/Chinese (Simplified)/Chinese (Traditional)/Czech/Danish/Dutch/English/Finnish/French/German/Greek/Hungarian/Italian/Japanese/Lithuanian/Norwegian/Persian/Polish/Portuguese/Romanian/Russian/Slovak/Slovene/Spanish/Swedish/Thai/Turkish/Urdu/Vietnamese","c/perl/unix-shell","console-terminal/newt/web-based","2018-09-04","gnu-general-public-license-version-2.0-(gplv2)"
"InfraRecorder","Beta","windows","end-users-desktop","archiving/cd-ripping","Arabic/Bosnian/Brazilian Portuguese/Bulgarian/Catalan/Chinese (Simplified)/Chinese (Traditional)/Croatian/Czech/Danish/Dutch/English/Finnish/French/Galician/German/Hebrew/Hungarian/Indonesian/Italian/Japanese/Korean/Lithuanian/Norwegian/Polish/Portuguese/Romanian/Russian/Serbian/Slovak/Slovene/Spanish/Swedish/Thai/Turkish/Ukrainian","c++","win32-(ms-windows)","2015-02-04","gnu-general-public-license-version-2.0-(gplv2)"
"Swish","Alpha","windows","advanced-end-users/end-users-desktop/system-administrators","desktop-environment/file-sharing/filesystems/networking/system-shells","Czech/Dutch/English/French/German/Hebrew/Russian/Spanish/Turkish","c++","plugins/win32-(ms-windows)","2014-03-07","gnu-general-public-license-version-2.0-(gplv2)"
"AnalogExif","Beta","mac/windows","end-users-desktop/other-audience","metadata-editors","English","c++","qt","2013-04-26","gnu-general-public-license-version-3.0-(gplv3)"
"JSmooth","Beta","windows","developers","build-tools/compilers/installation-setup/software-distribution","English","c++/java","win32-(ms-windows)","2013-05-02","gnu-general-public-license-version-2.0-(gplv2)"
"WINE for Darwin and Mac OS X","Pre-Alpha","bsd/linux/mac/windows","developers","desktop-environment/emulators","English","c","cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2013-08-16","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Comical","Beta","linux/mac/windows","end-users-desktop","internet/viewers","Turkish","c++/php","win32-(ms-windows)/wxwidgets","2012-09-26","gnu-general-public-license-version-2.0-(gplv2)/public-domain"
"SimPE: The simple DBPF-Package Editor","Alpha","windows","advanced-end-users/end-users-desktop","other-nonlisted-topic/simulation","English/German","c#",".net-mono","2015-04-16","gnu-general-public-license-version-2.0-(gplv2)"
