"SystemName","status","OperationSystems","Audience","Category","Translations","ProgrammingLan","UserInterface","LastUpdate","License"
"Apache OpenOffice",NA,"bsd/linux/mac/windows","NA","office-suites/spreadsheet/word-processors","NA","NA","NA","2019-10-15","apache-license-v2.0"
"Clonezilla",NA,"bsd/linux","education/end-users-desktop/system-administrators","backup/installation-setup/systems-administration","Brazilian Portuguese/Chinese (Simplified)/Chinese (Traditional)/English/French/German/Italian/Japanese/Russian/Spanish","perl/unix-shell","command-line/console-terminal/x-window-system-(x11)","2 days ago","gnu-general-public-license-version-2.0-(gplv2)"
"Hibernate",NA,"linux/mac/windows","developers/information-technology/science-research","database/frameworks/indexing-search/orm-(object-relational-mapping)/scientific-engineering","English","java","NA","6 days ago","apache-license-v2.0/gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"OpenProj - Project Management",NA,"bsd/linux/mac/windows","aerospace/end-users-desktop/government/healthcare-industry/information-technology/manufacturing","office-suites/project-management/scheduling","Chinese (Simplified)/Czech/English/Finnish/French/Galician/German/Italian/Korean/Persian/Portuguese/Russian/Slovak/Spanish/Swedish/Ukrainian","java","java-swing","2019-03-10","common-public-attribution-license-1.0-(cpal)"
"Moodle",NA,"bsd/linux/mac/solaris/windows","developers/education/end-users-desktop/information-technology/system-administrators","communications/education/internet","Afrikaans/Arabic/Belarusian/Chinese (Simplified)/Czech/English/French/German/Italian/Japanese/Spanish/Thai/Vietnamese","php","web-based","2 days ago","gnu-general-public-license-version-2.0-(gplv2)"
"TortoiseSVN",NA,"windows","developers/end-users-desktop/information-technology/science-research/telecommunications-industry","subversion/usability/version-control","Brazilian Portuguese/Bulgarian/Catalan/Chinese (Simplified)/Chinese (Traditional)/Croatian/Czech/Danish/Dutch/English/Finnish/French/Georgian/German/Greek/Hungarian/Indonesian/Italian/Japanese/Korean/Latvian/Lithuanian/Macedonian/Norwegian/Persian/Polish/Portuguese/Romanian/Russian/Serbian/Slovak/Slovene/Spanish/Swedish/Thai/Turkish/Ukrainian/Vietnamese","c/c++","plugins/win32-(ms-windows)/windows-aero","2018-04-18","gnu-general-public-license-version-2.0-(gplv2)/public-domain"
"Eclipse Checkstyle Plug-in",NA,"linux/mac/windows","developers/quality-engineers","quality-assurance/source-code-analysis/source-code-review","English/French/German","java","eclipse/java-swt","2019-11-05","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Microsoft's TrueType core fonts","Beta","bsd/linux","end-users-desktop/system-administrators","desktop-environment","NA","NA","x-window-system-(x11)","2014-08-28","gnu-general-public-license-version-2.0-(gplv2)"
"MinGW - Minimalist GNU for Windows",NA,"windows","developers/education/information-technology","build-tools/code-generators/compilers/debuggers/interpreters","English","ada/c/c++/fortran/java/pascal","win32-(ms-windows)","2018-07-13","bsd-license/gnu-general-public-license-version-2.0-(gplv2)/gnu-general-public-license-version-3.0-(gplv3)/mit-license/public-domain"
"SAP NetWeaver Server Adapter for Eclipse","Beta","linux/mac/windows","developers","application-servers","English","java","eclipse","2016-07-20","eclipse-public-license"
"Notepad++ Plugin Manager (old repo)",NA,"NA","NA","word-processors","NA","NA","NA","2019-07-19","NA"
"PortableApps.com",NA,"windows","advanced-end-users/developers/education/end-users-desktop/information-technology/system-administrators","browsers/enterprise/office-suites","Brazilian Portuguese/Chinese (Simplified)/Chinese (Traditional)/Dutch/English/French/German/Hungarian/Italian/Japanese/Polish/Portuguese/Russian/Spanish","c++/delphi-kylix/python","win32-(ms-windows)/windows-aero","12 hours ago","gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)/mit-license/mozilla-public-license-1.1-(mpl-1.1)/wxwindows-library-licence"
"ScpToolkit",NA,"windows","NA","hardware-drivers","NA","NA","NA","2019-11-11","gnu-general-public-license-version-3.0-(gplv3)"
"Scrollout F1",NA,"bsd/linux/mac/windows","information-technology/management/security/security-professionals/system-administrators/telecommunications-industry","anti-spam/filters/networking","English","NA","web-based","2018-04-08","gnu-general-public-license-version-2.0-(gplv2)"
"AutoClicker",NA,"windows","end-users-desktop","service-automation","English","c#",".net-mono","2019-07-19","creative-commons-attribution-non-commercial-license-v2.0"
"movistartv","Beta","NA","NA","NA","NA","c++","NA","2020-02-08","NA"
"Ubuntuzilla: Mozilla Software Installer",NA,"linux","advanced-end-users/end-users-desktop/system-administrators","installation-setup/software-distribution/systems-administration","English","python","command-line/console-terminal","2020-04-09","gnu-general-public-license-version-2.0-(gplv2)"
"Rufus",NA,"linux/windows","advanced-end-users/developers/end-users-desktop/security-professionals/system-administrators","os-distribution/system","NA","NA","NA","2020-04-22","gnu-general-public-license-version-3.0-(gplv3)"
"AutoAP","Beta","linux","advanced-end-users/developers/telecommunications-industry","wireless","English/German/Spanish","c/javascript/unix-shell","console-terminal/web-based","2015-08-06","gnu-general-public-license-version-2.0-(gplv2)"
"antimicro",NA,"bsd/linux/windows","NA","games-entertainment/hardware-drivers","NA","NA","NA","2019-12-24","gnu-general-public-license-version-3.0-(gplv3)"
"Calibre eBook Manager",NA,"linux/mac/windows","NA","cataloguing/knowledge-management","NA","NA","NA","6 days ago","gnu-general-public-license-version-3.0-(gplv3)"
"Sweet Home 3D",NA,"linux/mac/solaris/windows","end-users-desktop","3d-modeling/3d-rendering/simulations","Arabic/Brazilian Portuguese/Bulgarian/Chinese (Simplified)/Chinese (Traditional)/Czech/Dutch/English/Finnish/French/German/Greek/Hungarian/Indonesian/Italian/Japanese/Korean/Polish/Portuguese/Russian/Serbian/Slovene/Spanish/Swedish/Turkish/Ukrainian/Vietnamese","java","java-swing","2 hours ago","gnu-general-public-license-version-2.0-(gplv2)"
"Amidst",NA,"linux/mac/windows","NA","sandbox-games","NA","NA","NA","2020-02-06","gnu-general-public-license-version-3.0-(gplv3)"
"WinSCP",NA,"windows","developers/end-users-desktop/system-administrators","communications/cryptography/file-transfer-protocol-(ftp)","Brazilian Portuguese/Catalan/Chinese (Simplified)/Chinese (Traditional)/Croatian/Czech/Dutch/English/Finnish/French/German/Hungarian/Indonesian/Italian/Japanese/Korean/Malay/Polish/Portuguese/Russian/Serbian/Spanish/Swedish/Turkish/Ukrainian","c++","plugins/win32-(ms-windows)","3 days ago","gnu-general-public-license-version-2.0-(gplv2)"
"boot-repair",NA,"NA","NA","NA","NA","NA","NA","2017-12-19","NA"
"Anti-Spam SMTP Proxy Server",NA,"bsd/linux/mac/windows","information-technology/system-administrators","anti-spam/filters","Dutch/English","perl","web-based","2020-03-29","gnu-general-public-license-version-2.0-(gplv2)"
"KeePass",NA,"linux/mac/windows","advanced-end-users/end-users-desktop/other-audience/science-research/system-administrators/telecommunications-industry","database/desktop-environment/internet/office-business/security","Arabic/Belarusian/Brazilian Portuguese/Bulgarian/Catalan/Chinese (Simplified)/Chinese (Traditional)/Croatian/Czech/Danish/Dutch/English/Estonian/Finnish/French/Galician/German/Greek/Hebrew/Hungarian/Italian/Japanese/Korean/Lithuanian/Macedonian/Malay/Norwegian/Panjabi/Persian/Polish/Portuguese/Romanian/Russian/Serbian/Slovak/Slovene/Spanish/Swedish/Thai/Turkish/Ukrainian/Vietnamese","c#/c++",".net-mono/win32-(ms-windows)","2020-02-03","gnu-general-public-license-version-2.0-(gplv2)"
"Tor Browser",NA,"linux/mac/windows","NA","browsers/security","NA","NA","NA","2020-04-09","bsd-license/mit-license/mozilla-public-license-2.0-(mpl-2.0)/other-license"
"qBittorrent",NA,"bsd/linux/mac/windows","end-users-desktop","bittorrent","Basque (Euskara)/Brazilian Portuguese/Bulgarian/Catalan/Chinese (Simplified)/Chinese (Traditional)/Danish/Dutch/English/Finnish/French/German/Greek/Hungarian/Italian/Japanese/Korean/Norwegian/Polish/Portuguese/Romanian/Russian/Slovak/Spanish/Swedish/Turkish/Ukrainian","c++/python","qt","5 days ago","gnu-general-public-license-version-2.0-(gplv2)"
"MinGW-w64 - for 32 and 64 bit Windows",NA,"windows","developers","compilers/cross-compilers","NA","c/c++/unix-shell","other-toolkit","22 hours ago","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)/public-domain/zope-public-license"
"Code::Blocks",NA,"NA","developers","build-tools/integrated-development-environments-(ide)/user-interfaces","English","c/c++","wxwidgets","4 days ago","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"Dev-C++",NA,"bsd/windows","advanced-end-users/developers/end-users-desktop","integrated-development-environments-(ide)/software-development","Bulgarian/Catalan/Chinese (Simplified)/Chinese (Traditional)/Croatian/Czech/Danish/Dutch/English/Estonian/French/Galician/German/Greek/Hungarian/Italian/Korean/Latvian/Norwegian/Polish/Portuguese/Romanian/Russian/Slovak/Slovene/Spanish/Swedish/Turkish/Ukrainian","c/c++/delphi-kylix","win32-(ms-windows)/windows-aero","2016-11-29","gnu-general-public-license-version-3.0-(gplv3)"
"Expat XML Parser",NA,"NA","developers","internet/xml","NA","c","NA","2019-09-25","mit-license"
"Equalizer APO",NA,"windows","advanced-end-users/end-users-desktop","home-theater-pc/sound-audio","English/German","c++","non-interactive-(daemon)/qt","2019-06-10","gnu-general-public-license-version-2.0-(gplv2)"
"Havoc-OS",NA,"NA","NA","NA","NA","NA","NA","4 hours ago","NA"
"Etcher",NA,"linux/mac/windows","NA","system/systems-administration","NA","NA","NA","3 days ago","apache-license-v2.0"
"XAMPP",NA,"linux/mac/solaris/windows","developers/education/information-technology/system-administrators","database-engines-servers/dynamic-content/http-servers/site-management","English/German","perl/php","non-interactive-(daemon)/web-based/win32-(ms-windows)","6 days ago","gnu-general-public-license-version-2.0-(gplv2)"
"OpenShot Video Editor",NA,"linux/mac/windows","NA","special-effects/subtitling/video-editing","NA","python","NA","2 days ago","gnu-general-public-license-version-3.0-(gplv3)"
"WampServer",NA,"windows","developers","http-servers","French","php","win32-(ms-windows)","2 days ago","gnu-general-public-license-version-2.0-(gplv2)"
"Win32 Disk Imager",NA,"windows","advanced-end-users","embedded-systems/filesystems/storage","NA","c++","qt","2018-06-07","gnu-general-public-license-version-2.0-(gplv2)"
"OpenGApps",NA,"android","information-technology","software-development","NA","java/javascript/unix-shell","console-terminal","7 hours ago","apache-license-v2.0/gnu-general-public-license-version-3.0-(gplv3)/other-license"
"7-Zip",NA,"windows","developers/end-users-desktop/system-administrators","backup/compression/packaging","English","c/c++","command-line/win32-(ms-windows)","2019-02-22","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
